budget_pct,IPC$_{mem}$,MC,IPC$_{tot}$,$V_{feat}$,$r_{eff}$,random
5,23.0,20.0,12.0,0.0,0.0,5.0
10,47.0,43.0,25.0,0.0,0.0,10.0
15,68.0,65.0,37.0,0.0,0.0,15.0
20,85.0,82.0,50.0,0.0,0.0,20.0
25,96.0,94.0,62.0,0.0,0.0,25.0
30,99.0,99.0,72.0,0.0,0.0,30.0
35,100.0,100.0,80.0,0.0,1.0,35.0
40,100.0,100.0,87.0,0.0,4.0,40.0
45,100.0,100.0,93.0,0.0,8.0,45.0
50,100.0,100.0,96.0,0.0,13.0,50.0
55,100.0,100.0,98.0,0.0,18.0,55.0
60,100.0,100.0,99.0,0.0,24.0,60.0
65,100.0,100.0,100.0,3.0,33.0,65.0
70,100.0,100.0,100.0,13.0,45.0,70.0
75,100.0,100.0,100.0,24.0,58.0,75.0
80,100.0,100.0,100.0,44.0,72.0,80.0
85,100.0,100.0,100.0,64.0,88.0,85.0
90,100.0,100.0,100.0,96.0,100.0,90.0
95,100.0,100.0,100.0,100.0,100.0,95.0
100,100.0,100.0,100.0,100.0,100.0,100.0
